,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8019189933,6.6733207048,4.1004402634,-0.543771364,-4.1084293131,-4.7074051425,-2.9656835917,0.6713264142,4.1676712922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,6.5832089094,7.6802598265,7.8403276658,6.1715954556,3.6098370009,0.5301231146,-1.2823028779,-0.781108063,0.1010398325,2.6570053561,5.3305449865,7.7206021275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,3.6983370367,5.7737698232,6.7005485121,6.4564837811,4.205890044,1.40919196,-0.7582109916,-1.3213205649,0.0053012742,1.5637299058,3.498458614,5.6350377198,6.6875010493,4.9881514451,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2.8727972629,2.2769197984,3.497226092,4.8428717569,4.4567116047,1.8721333754,-1.1493801896,-2.3001731599,-1.7111326902,-0.0814214694,1.6423105848,3.3361654716,4.918955386,5.2531889792,3.8882601715,2.4206408685,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,2.9607997004,2.0755743967,2.3457375257,3.5944334945,3.069953086,0.6495681878,-2.1004102296,-2.4001093518,-1.1579601374,0.1907428095,1.5506667421,3.0584443131,4.3046817295,4.1159551858,2.815867546,2.0491662076,1.5159462756,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,2.8456687942,2.8165333253,2.4664215749,2.4853786217,2.7751429881,2.010177054,0.2128990882,-1.5168922559,-1.3502209728,-0.3324772795,0.5725504673,1.5720091207,2.7906536834,3.631140731,2.9273833159,1.6112158225,1.2276109947,1.1478613522,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.7694296749,2.2050616789,2.7705930432,2.2042607811,0.8625832212,0.0052433016,-0.5506475735,-0.8841876844,-0.5798335419,-0.2023716793,0.3075447501,0.8991574529,1.5305888913,2.0347960934,1.6970669323,0.8335603763,0.6010579749,0.6646131395,1.1867656605,0.0,0.0,0.0
10,0.0,0.0,-3.6047643966,-2.1203630769,0.1523370149,0.9584978646,-0.0927518991,-2.2138649118,-2.3633290456,-1.5527235623,-0.9870354152,-0.9038253811,-0.7191374456,-0.0951609804,0.3296366211,0.3885260466,0.6791148999,0.9761773246,0.7827785501,0.3733243499,0.5835373734,1.1234564643,0.0,0.0,0.0
