,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.3020679088,2.73650786,2.2835259596,1.6191130823,0.5235700572,-0.4101197908,-1.1866665484,-1.7327750469,-1.6632987868,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.0913812773,3.9528045317,2.537054268,2.4139112135,2.6682586871,2.229906117,0.783953024,-0.3779170571,-1.081812044,-1.0177566013,0.0795376989,1.6956004062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,8.3889056621,6.1666949575,3.377233638,1.7278008753,1.5820299296,2.0545110114,1.7962902421,0.696959748,-0.0629539723,-0.0505328006,0.4949659286,1.4574188393,2.3756992554,2.7092392908,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,7.5126362224,7.1058695212,5.2154723548,2.9217364204,1.4446884142,0.7570494256,0.5884371166,0.5490135835,0.6231648674,1.0568709093,1.9403950789,2.3535938726,2.4220359857,1.7823360513,1.3144604715,0.46098182,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,5.0841504808,5.2310929566,4.1081095579,2.6811585009,1.3123541329,-0.1112108097,-0.7327223629,0.0309208774,1.6756664301,2.8901799908,3.3595670859,3.0165729843,2.0944499195,0.5771260394,-0.4012821744,-1.0623110509,-1.84367833,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,3.2467248904,3.2392394778,3.4799481376,3.0552494783,2.2395789393,1.1283468474,-0.0233007001,-0.4967158638,0.368420304,1.9848966134,2.7749476325,2.4408512713,1.821319317,1.1759853196,0.0231632817,-1.2189923985,-2.3301086206,-3.3702397849,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,5.6258695914,3.8918457177,3.2435315652,2.8086940382,2.1059993034,1.0392386275,0.0209388513,-0.4114424044,-0.1478537989,0.4852050529,0.3171617511,-0.3426117314,-0.6123261387,-0.5867301701,-0.8502693989,-1.8357502723,-3.1122709852,-4.2889367282,-5.2293471353,-0.0,-0.0,-0.0
