,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.9071069298,4.1850579452,1.1108085446,-1.3473116229,-2.333754404,-2.3136872721,-1.539388501,-1.2119699365,-1.9880399674,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.9876056965,-1.2322037396,1.8667549052,2.781373837,0.9519662827,-0.7843094651,-1.8576467121,-2.4548613212,-2.4814407107,-2.4450983696,-3.3128535336,-5.5297395134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,2.8622208831,-1.4572893067,-2.2617351991,0.0249153447,1.4577837347,0.3020609781,-1.2925833559,-2.0509232007,-2.2600346689,-2.7255440902,-3.4114870022,-4.173230021,-4.9993377452,-6.4695759311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,6.4120350862,3.5220105949,-0.368370899,-2.2126903624,-0.3352363384,1.1479158525,-0.2127917294,-1.9108892798,-1.956447154,-1.5558477431,-2.3903228488,-3.7546933681,-4.3954369606,-4.3172681289,-4.6673756521,-5.1717350323,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,3.5050970829,3.1167155527,0.9016674861,-0.10738891,1.1950991491,1.6349782561,-0.5739804586,-2.3977003177,-2.1033647196,-1.8335794694,-3.1518083122,-5.0270528849,-5.6914746694,-4.8229397435,-4.1901987881,-4.2667461981,-4.8869061891,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.7378450893,1.5482403464,3.4465752325,4.1399878563,3.1768244036,2.3002913697,0.4502711897,-2.6193424771,-3.7330179489,-2.9271644089,-2.9132850993,-4.8898854383,-7.8895645368,-8.9570488138,-8.4667659104,-7.4516870705,-7.2821147409,-7.9341980195,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,1.910816663,3.3808300541,6.6911569476,9.0844490816,7.2751217936,3.063702611,-1.2101354956,-4.4162382614,-4.7005788665,-3.8349274745,-4.2405081526,-7.0300044972,-10.9737580535,-12.3230876973,-11.6146550319,-10.3033916599,-10.3862949223,-11.1324846721,-11.1054984174,-0.0,-0.0,-0.0
